[Tue May 16 20:15:05.895002 2017] [:error] [pid 18920] [client 77.101.78.55:50790] script '/var/www/control.flareservers.co.uk/Testpanel/server_settings.php' not found or unable to stat
[Tue May 16 20:15:27.893553 2017] [:error] [pid 18920] [client 77.101.78.55:50795] PHP Parse error:  syntax error, unexpected '$row_srv' (T_VARIABLE) in /var/www/control.flareservers.co.uk/Testpanel/servers.php on line 49
[Tue May 16 22:03:23.698387 2017] [:error] [pid 24113] [client 77.101.78.55:52193] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:03:25.220104 2017] [:error] [pid 23825] [client 77.101.78.55:52211] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:04:03.383259 2017] [:error] [pid 24253] [client 77.101.78.55:52311] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:04:17.590907 2017] [:error] [pid 24253] [client 77.101.78.55:52337] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:04:35.840365 2017] [:error] [pid 23776] [client 77.101.78.55:52371] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160
[Tue May 16 22:04:50.108656 2017] [:error] [pid 24254] [client 77.101.78.55:52395] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160
[Tue May 16 22:08:30.070074 2017] [:error] [pid 23772] [client 77.101.78.55:52731] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/
[Tue May 16 22:08:51.147785 2017] [:error] [pid 24467] [client 77.101.78.55:52770] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:08:55.804638 2017] [:error] [pid 24447] [client 77.101.78.55:52781] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:08:56.271753 2017] [:error] [pid 24113] [client 77.101.78.55:52782] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
